id,syllabus,cluster,topic,skill,marks,tier,figureRequired,question,context,figure_description,figure_caption,notes
"q1","O-Elective | O-Pure | N-Elective | N-Pure","Climate","Climate Change","Explain","4","free","False","Explain how human activities have contributed to the enhanced greenhouse effect.","","","",""
"q2","O-Elective | O-Pure | N-Elective | N-Pure","Climate","Climate Change","Describe","3","free","False","Describe the relationship between solar activity and global surface temperature changes shown in Fig. 2.3.","The graph shows solar activity (watts/m²) and global surface temperature change (°C) from 1880 to 2020.","Fig. 2.3 — Solar activity vs global surface temperature 1880–2020","Solar activity remains relatively flat while temperature rises sharply post-1950. The divergence is key to your answer.",""
"q3","O-Elective | O-Pure","Climate","Climate Action","Evaluate","9","free","False","'Adaptation strategies are more effective than mitigation strategies in managing the impacts of climate change.' To what extent do you agree with this statement? Explain your answer.","","","",""
"q3n","N-Elective | N-Pure","Climate","Climate Action","Evaluate","6","free","False","'Adaptation strategies are more effective than mitigation strategies in managing the impacts of climate change.' To what extent do you agree with this statement? Explain your answer.","","","",""
"q4","O-Elective | O-Pure | N-Elective | N-Pure","Climate","Weather and Climate","Describe","3","free","False","Describe the temperature and rainfall characteristics of an equatorial climate.","","","",""
"q5","O-Elective | O-Pure","Climate","Climate Action","Evaluate","6","free","False","'Mitigation strategies adopted by countries to build climatic resilience can only be partially effective.' To what extent do you agree with this statement? Explain your answer.","","","",""
"q6","O-Elective | O-Pure | N-Elective | N-Pure","Climate","Climate Change","Explain","2","paid","False","Explain why urban areas tend to experience higher temperatures than surrounding rural areas.","","","",""
"q7","O-Elective | O-Pure | N-Elective | N-Pure","Climate","Climate Change","Explain","4","paid","False","Explain how rising sea levels caused by climate change can result in economic losses for coastal communities.","","","",""
"q8","O-Elective | O-Pure | N-Elective | N-Pure","Climate","Climate Action","Evaluate","3","paid","False","Evaluate the effectiveness of international agreements such as the Paris Agreement in reducing global carbon emissions.","","","",""
"q9","O-Elective | O-Pure | N-Elective | N-Pure","Climate","Weather and Climate","Describe","3","paid","False","Describe the rainfall pattern shown in Fig. 2.2.","Total annual rainfall: 1909mm.","Fig. 2.2 — Climate graph, tropical monsoon location","Distinct wet season (Jun–Oct) and dry season (Nov–May). Cite at least two specific monthly figures.",""
"q10","O-Elective | O-Pure | N-Elective | N-Pure","Climate","Climate Change","Explain","3","paid","False","Explain how deforestation contributes to climate change.","","","",""
"q11","O-Elective | O-Pure | N-Elective | N-Pure","Climate","Weather and Climate","Describe","3","paid","False","Describe the global distribution of areas most vulnerable to the effects of climate change shown in Fig. 3.1.","","Fig. 3.1 — Global vulnerability to climate change impacts","Focus on regions, not individual countries. Note the link between low income and high vulnerability.",""
"q12","O-Elective | O-Pure | N-Elective | N-Pure","Climate","Climate Change","Compare","3","paid","False","Using Fig. 2.4, compare the annual CO₂ emissions per capita between developed and developing countries shown.","","Fig. 2.4 — CO₂ emissions per capita (tonnes), selected countries","Range: 0.6–15 tonnes. USA and Australia highest; Nigeria lowest. Make a direct comparison with figures.",""
"prelim_sch1_p1_q1bi","O-Elective | O-Pure","Geography in Everyday Life","Geographical Investigation — Risk Assessment","Evaluate","2","paid","False","Based on Fig. 1.2, assess the level of risk involved in conducting their investigation at the Southern Ridges PCN.","Before going to the Southern Ridges PCN, the students completed a risk assessment (Fig. 1.2).","Fig. 1.2 — Risk assessment table. Four columns: Hazard, Likelihood (1–5), Severity (1–5), Degree of Risk (= Likelihood × Severity). Four hazards: (1) Getting lost / separated — likelihood 2, severity 2, risk 4; (2) Exposure to high temperature — likelihood 3, severity 3, risk 9; (3) Caught in heavy rainfall — likelihood 3, severity 2, risk 6; (4) Slipping / tripping / falling — likelihood 2, severity 4, risk 8.","Identify the highest-risk hazard (exposure to high temperature, score 9) and judge the overall risk level across all four hazards.",""
"prelim_sch1_p1_q1d","O-Elective | O-Pure","Geography in Everyday Life","Geographical Investigation — Hypothesis Evaluation","Evaluate","6","paid","True","Using Figs. 1.5 and 1.6 only, evaluate how well the data supports the revised hypothesis: ""The Southern Ridges has made a positive impact on its visitors and the environment.""","The students expanded their hypothesis to include environmental impact and conducted both visitor interviews and an environmental observation survey. Fig. 1.5 shows visitor survey results; Fig. 1.6 shows the environmental observation results.","Fig. 1.5 — Grouped bar chart 'Respondents' Opinions of the Impact of Southern Ridges.' Y-axis: Number of Respondents (0–20+). X-axis: Strongly Disagree / Disagree / Neutral / Agree / Strongly Agree. Three bar groups: Q3 Mental Well-being, Q4 Trail Accessibility, Q5 Environmental Awareness. Agree bars highest for all three (~18–21 respondents); Q5 shows more Disagree/Strongly Disagree responses than Q3 or Q4. Fig. 1.6 — Horizontal bar chart 'Environmental Observation Survey.' X-axis: impact score −5 to +5. Five indicators: Educational signboards along Marang Trail (~+3.5); Noise pollution near Alexandra Arch (~+1.5); Trail erosion in Forest Walk section (~+1.5); Biodiversity near Telok Blangah Hill (~+3.5); Litter along Henderson Waves area (~+1).","Use specific data from both charts. Acknowledge supporting evidence (majority Agree/Strongly Agree for Q3 and Q4; positive scores for biodiversity and signboards) and limitations (mixed views on Q5; noise and litter scores near neutral).",""
"prelim_sch1_p1_q2a","O-Elective | O-Pure","Tourism","Factors Contributing to Growth of Tourism","Explain","3","paid","False","With the help of an example, explain how an increase in the ability to travel has led to the growth of tourism.","","","",""
"prelim_sch1_p1_q2b","O-Elective | O-Pure","Tourism","Impact of Tourism — Cultural Dilution","Compare","3","paid","False","Using Fig. 2, compare the role of Chinatown in Singapore over time and explain how this change may lead to cultural dilution if not carefully managed.","Study Fig. 2, which shows two perspectives about Chinatown in Singapore.","Fig. 2 — Two-perspective cartoon of Chinatown. An elderly Chinese man in traditional dress: ""In 1819, Raffles allocated this area for Chinese immigrants. We lived, worked, and supported one another here — it was our home."" A young tourist with a camera: ""Today, Chinatown is filled with cultural festivals, heritage trails, and shops for tourists. The community feel is gone, but its history lives on for visitors to explore."" Background shows shophouse-lined streets.","Compare Chinatown's original function (residential/working community) to its current function (tourism destination), then explain how this shift can erode authentic culture, local businesses, and community life.",""
"prelim_sch1_p1_q2c","O-Elective | O-Pure","Tourism","Positive Impacts of Tourism","Explain","5","paid","False","How does tourism positively affect the society and economy of places? Illustrate your answer with an example that you have studied.","","","",""
"prelim_sch1_p1_q2d","O-Elective | O-Pure","Tourism","Managing Tourism — Pro-Poor Tourism","Explain","4","paid","False","Explain pro-poor tourism and its limitations.","","","",""
"prelim_sch1_p1_q3a","O-Elective | O-Pure","Climate","Urban Heat Island Effect","Describe","2","paid","False","Using Figs. 3.1 and 3.2, describe the distribution of the Urban Heat Island (UHI) effect in Singapore.","Study Fig. 3.1, which shows the intensity of the UHI effect in Singapore, and Fig. 3.2, a satellite image showing the location of green spaces in Singapore.","Fig. 3.1 — Map of Singapore with UHI intensity shading. Higher intensity concentrated in the central and southern urban core (CBD, industrial zones, dense residential areas). Lower intensity in areas with green spaces. Fig. 3.2 — Satellite image of Singapore with green spaces highlighted: Central Catchment Nature Reserve, Western Catchment/Jurong, and scattered parks.","Describe where UHI is highest and lowest, then link the distribution to presence/absence of green spaces in Fig. 3.2. Note the urban core vs. periphery contrast.",""
"prelim_sch1_p1_q3b","O-Elective | O-Pure","Climate","Regional Winds — Northeast Monsoon","Explain","4","paid","False","Explain the formation of the regional winds experienced in Singapore during the months of October to February.","","","",""
"prelim_sch1_p1_q3c","O-Elective | O-Pure","Climate","Managing Climate Change — Adaptation vs Mitigation","Evaluate","9","paid","False","""The adoption of adaptation strategies is sufficient for communities to build resilience against climate change."" With reference to Fig. 3.3, to what extent do you consider this statement to be true? Explain your answer.","Study Fig. 3.3, which shows strategies taken to manage the impact of climate change.","Fig. 3.3 — Venn diagram of climate change management strategies. Left circle (adaptation only): Flood protection; Infrastructure and building design; Disaster management and business continuity. Right circle (mitigation only): Sustainable transportation; Energy efficiency; Renewable energy. Overlapping centre (both): Urban forest; Complete communities; Water and energy conservation.","Use the diagram to identify adaptation-only, mitigation-only, and dual-purpose strategies. Argue whether adaptation alone is sufficient or whether mitigation (addressing root causes) is also necessary.",""
"prelim_sch1_p2_q1a","O-Pure","Geography in Everyday Life","Sense of Place","Describe","3","paid","False","With reference to Fig. 1.1, describe how a sense of place is acquired.","Study Fig. 1.1, which shows people gathering near a temple to celebrate Diwali festival in Ayodhya, India.","Fig. 1.1 — Night photograph: large crowd at a temple in Ayodhya during Diwali. Foreground: hundreds of people placing oil lamps (diyas) arranged in glowing patterns on the ground. Background: illuminated temple with ornate domes and towers. Scene conveys religious devotion, communal ritual, cultural tradition, and shared identity tied to the place.","Use specific visual elements — the temple as a landmark, the communal ritual of placing diyas, the large shared gathering — to explain how repeated participation in cultural/religious events at a specific location creates emotional attachment and a sense of belonging.",""
"prelim_sch1_p2_q1b","O-Pure","Geography in Everyday Life","Ecosystem Services — Supporting Services","Explain","4","paid","False","Explain the benefits that supporting ecosystem services provide for urban neighbourhoods.","","","",""
"prelim_sch1_p2_q1c","O-Pure","Geography in Everyday Life","Data Response — Traffic Accidents","Describe","3","paid","False","Using Fig. 1.2, describe the occurrences of traffic accidents in 2022 and 2023.","Study Fig. 1.2, which shows the number and causes of traffic accidents in Singapore in 2022 and 2023.","Fig. 1.2 — Two pie charts. 2022 (total ~1,450 accidents): Speeding 1138 (79%), Drink driving 175 (12%), Running red light 137 (9%). 2023 (total ~916 accidents): Speeding 624 (68%), Drink driving 180 (20%), Running red light 112 (12%). Key changes: total accidents fell by ~534; speeding fell in number and share; drink driving rose in both absolute number (175→180) and proportion (12%→20%).","Describe the overall change in total accidents, then compare proportions and absolute numbers for each cause across both years. Use specific figures from both charts.",""
"prelim_sch1_p2_q1d","O-Pure","Geography in Everyday Life","Human Impact on Greenspace","Explain","2","paid","False","With reference to Fig. 1.3, explain how people using the community park may bring problems to nature.","Study Fig. 1.3, which shows a community park in an urban area in the USA.","Fig. 1.3 — Photograph of a landscaped urban community park in the USA. Labelled features: residential tower blocks (background); sheltered wooden pergola; chairs and benches; rock climbing wall; children's play area; pedestrian boardwalk bridge crossing over natural ground. Trees and planted garden beds throughout. People walking, using the bridge, and recreating.","Reference specific features — the boardwalk over natural ground, the play area, the high volume of visitors — and explain how intensive use causes soil compaction, habitat disturbance, noise pollution, and waste that harm ecosystems within and around the park.",""
"prelim_sch1_p2_q2b","O-Pure","Tectonics","Sea Floor Spreading","Explain","3","paid","False","With reference to Fig. 2.1, account for the change in the age of oceanic rocks with increasing distance from the mid-ocean ridge.","Study Fig. 2.1, which shows a mid-ocean ridge.","Fig. 2.1 — 3D cross-section of a mid-ocean ridge. Labels: Mid-ocean ridge (top centre); Lithosphere (rigid plates on both sides); Asthenosphere (semi-molten layer below). Convection current arrows rise beneath the ridge and diverge laterally. Striped oceanic crust layers show alternating magnetic polarity bands — thinner/newer at the ridge centre, thicker/older further away.","Trace the process: magma rises at the ridge, cools into new crust, then moves away as more magma is added. Rocks nearest the ridge are youngest; rocks furthest away are oldest. Reference convection currents in the asthenosphere as the driving force.",""
"prelim_sch1_p2_q2c","O-Pure","Tectonics","Volcanic Hazards — Impact on Ecosystems","Explain","3","paid","False","With reference to Fig. 2.2, explain how volcanic eruptions damage natural ecosystems.","Study Fig. 2.2, which shows Mount St Helens before and after the 1982 eruption.","Fig. 2.2 — Split photograph of Mount St Helens, USA. Before: symmetrical snow-capped stratovolcano above a calm blue lake, surrounded by dense green coniferous forest. After (1982): truncated peak with a large crater; surrounding landscape covered in grey ash; dead, flattened tree trunks over a barren wasteland; lake buried; pioneer wildflowers (fireweed) beginning to recolonise the foreground.","Compare the two images directly. Use the before to establish the thriving ecosystem; use the after to explain how pyroclastic flows, lateral blasts, and ash fall destroyed forest, buried the lake, and killed fauna and flora. Note the pioneer recolonisation in the foreground as early ecological succession.",""
"prelim_sch1_p2_q2d","O-Pure","Tectonics","Earthquake Hazards — Disaster Risk Factors","Evaluate","9","paid","False","""The disaster risk caused by an earthquake at a place is most affected by its distance from the earthquake epicentre."" With reference to Figs. 2.3 and 2.4, to what extent do you consider the above statement to be true? Support your answer with relevant examples.","Study Figs. 2.3 and 2.4, which show information about earthquakes in different places.","Fig. 2.3 — Map of Sichuan Earthquake 2008 (M7.9, depth 19km). Shaking intensity zones from epicentre near Dujiangyan: Severe (immediate area); Very strong (~50km, includes Chengdu and Mianyang); Strong (wider Sichuan region); Moderate (extends into Gansu, Shaanxi, Chongqing — several hundred km away). Fig. 2.4 — Horizontal bar chart: Countries hit by most earthquakes 1990–2024. Values: China 186, Indonesia 166, Iran 109, Japan 98, United States 78, Turkey 62, India 58, Philippines 55.","Fig. 2.3 supports the statement (shaking weakens with distance — use the concentric zones). Use Fig. 2.4 to challenge it: countries with similar earthquake frequency (e.g. Indonesia vs. Japan) have very different disaster risk due to building standards, preparedness, and population vulnerability — factors unrelated to epicentre distance.",""
"prelim_sch1_p2_q3a","O-Pure","Singapore","Coastal Ecosystems — Distribution","Describe","2","paid","False","Using Fig. 3.1, describe the distribution of mangroves and corals in Singapore.","Study Fig. 3.1, which shows a map of some of Singapore's coastal ecosystems.","Fig. 3.1 — Map of Singapore showing coastal ecosystems: corals (blue), mangroves (red), sand/mudflats (green). Mangroves concentrated along the northwest coast (Lim Chu Kang, Sungei Buloh, Straits of Johor) and northeast (Pulau Ubin, Chek Jawa, Punggol). Corals found almost exclusively in the south and southwest — southern offshore islands including Cyrene Reefs, Sisters' Islands, Pulau Hantu, Semakau, St John's Island, Kusu Island, Lazarus Island. Clear north–south contrast: mangroves dominate northern coasts; corals dominate southern offshore areas.","Describe mangroves and corals separately using place names from the map. Note the clear north–south spatial contrast between the two ecosystem types.",""
"prelim_sch1_p2_q3b","O-Pure","Singapore","Ageing Population — Economic Impact","Explain","4","paid","False","With reference to Fig. 3.2 only, identify a possible demographic challenge that such a population structure may present and explain its impact on the economic viability of Singapore.","Study Fig. 3.2, which shows a population pyramid of Singapore in 2024.","Fig. 3.2 — Population pyramid, Singapore 2024 (source: U.S. Census Bureau). X-axis: population in thousands (300K each side, male and female). Y-axis: 5-year age bands from 0–4 to 100+. Shape: widest bars at 30–34 to 50–54 age groups (~200–280K per bar); narrow base at 0–4, 5–9, 10–14 (low birth rates); substantial bars at 65+ age groups. Overall: top-heavy/barrel shape indicating ageing population with low birth rates and growing elderly dependency.","Identify the challenge shown by the narrow base and wide upper bars — ageing population and shrinking future workforce. Explain economic consequences: rising old-age dependency ratio, higher healthcare/elderly spending, smaller labour force, lower tax revenues, reduced economic productivity.",""
"prelim_sch1_p2_q3c","O-Pure","Singapore","Social Resilience — SkillsFuture","Explain","4","paid","False","With reference to Fig. 3.3, explain how schemes like SkillsFuture help in building social resilience in Singapore.","Study Fig. 3.3, which shows the SkillsFuture scheme introduced by the Singapore government.","Fig. 3.3 — Screenshot from MySkillsFuture portal. Key details: (1) NEW from 1 May 2024 — SkillsFuture Credit (Mid-Career) top-up of $4,000 (non-expiring) to offset course fees for courses with strong employability outcomes. (2) Mid-Career Enhanced Subsidy (MCES) covers up to 90% of fees for SkillsFuture-funded courses. (3) ENHANCED from AY2025 — Singaporeans can receive subsidies for a second full-time diploma and qualify for MCES.","Use specific scheme features ($4,000 top-up, 90% MCES subsidy, second diploma support) to explain how SkillsFuture helps mid-career workers upskill and remain employable, reducing inequality and strengthening Singapore's collective resilience to economic disruption.",""
"prelim_sch1_p2_q3d","O-Pure","Singapore","Tectonic Threats and Opportunities","Explain","4","paid","False","With the help of Fig. 3.4, explain the possible tectonic threats to Singapore and how Singapore has managed to turn them into opportunities.","Study Fig. 3.4, which shows tectonic information in Southeast Asia.","Fig. 3.4 — Map of Southeast Asia showing: regional fault lines (dashed lines, including East Vietnam Fault, Mae Ping Fault, Three Pagodas Fault running through Peninsular Malaysia close to Singapore); undersea volcanoes (blue circles, 466 in the region, high concentrations around Philippines, Indonesia, South China Sea). Singapore labelled in red as 'Place at Risk.' Singapore is relatively distant from main fault lines but surrounded by a tectonically active region.","Identify threats using the map (undersea volcanoes risking tsunami/ashfall; regional faults risking transmitted tremors). Then explain how Singapore converts threats into opportunities: becoming a regional hub for disaster risk research, early warning systems, and seismic-resilient construction expertise.",""
"prelim_sch1_p2_q3e","O-Pure","Singapore","Food Resilience and Climate Change","Evaluate","6","paid","False","Evaluate Singapore's effort in building food resilience to mitigate the impact of climate change. Support your answer with relevant examples.","","","",""
"prelim_sch5_p1_q1a","O-Elective | O-Pure","Geography in Everyday Life","Sense of Place — Heritage Trails","Compare","4","paid","False","Using Fig. 1.1, describe the similarities and differences between the 'Play @ Pasir Ris' and 'Architectural Highlights' trails.","Study Fig. 1.1, which shows a map of the Pasir Ris Heritage Trail in Singapore, launched in 2019 to make heritage more accessible within urban neighbourhoods.","Fig. 1.1 — Map of Pasir Ris Heritage Trail. Three trail routes shown with different line styles: Coastal Heritage (solid line), Play @ Pasir Ris (dashed dotted), Architectural Highlights (dashed). Both Play @ Pasir Ris and Architectural Highlights have extended trail sections. Key numbered sites: (1) Adventure Playground — most popular for children in Pasir Ris Park; (2) Mangrove Forest — replanted along nearby housing estates; (3) Pasir Ris Town Park — Singapore's only commercial saltwater fishing pond, sustaining Pasir Ris's fishing culture; (4) Sakya Tenphel Ling — one of the first Tibetan Buddhist temples in Southeast Asia; (5) Masjid Al-Istighfar — one of the few mosques that opens 24 hours in Singapore. Play @ Pasir Ris covers recreational/park sites (Adventure Playground, Mangrove Forest, Pasir Ris Beach, Downtown East, Rivers of Pasir Ris). Architectural Highlights covers built heritage (flats with porthole motifs, flats with lighthouse facade, Sakya Tenphel Ling, Masjid Al-Istighfar, Loyang Tua Pek Kong Temple).","Compare route focus, sites visited, and coverage area. Similarities: both pass through Pasir Ris, both have extended trail options, both highlight aspects of the area's identity. Differences: Play @ Pasir Ris focuses on natural/recreational sites (parks, mangroves, beach); Architectural Highlights focuses on built heritage (distinctive buildings, religious sites).",""
